Título,Fonte,Publicado em,Descrição,URL
Flamengo x São Paulo: Crespo estreia em reencontro com fantasma de 21,Metropoles.com,2025-07-11T20:15:25Z,"Com odds indicando favoritismo ao Fla, Crespo reencontra rubro-negro na reestreia pelo Tricolor e tenta apagar lembrança amarga de 2021",https://www.metropoles.com/apostas/flamengo-x-sao-paulo-crespo-estreia-em-reencontro-com-fantasma-de-21
Leonardo Bertozzi fala após rumores de vício em bets: “Serão cobradas”,Metropoles.com,2025-07-11T14:19:53Z,O comentarista Leonardo Bertozzi se afastou da ESPN para cuidar da saúde mental; ele abriu o jogo sobre os boatos de vício em apostas e dívida milionária.,https://www.metropoles.com/colunas/fabia-oliveira/leonardo-bertozzi-fala-apos-rumores-de-vicio-em-bets-serao-cobradas
Setor de apostas surpreende e arrecada mais de R$ 3 bi em tributos em cinco meses,InfoMoney,2025-07-11T13:28:39Z,"Governo tinha feito projeções mais conservadoras e vê bets ultrapassarem setores como educação, varejo e outros em arrecadação
The post Setor de apostas surpreende e arrecada mais de R$ 3 bi em tributos em cinco meses appeared first on InfoMoney.",https://www.infomoney.com.br/esportes/setor-de-apostas-surpreende-e-arrecada-mais-de-r-3-bi-em-tributos-em-cinco-meses/
Jovens estão atrasando a faculdade porque gastam o dinheiro em bets,InfoMoney,2025-07-11T13:09:37Z,"Quase 1 milhão de potenciais ingressantes podem não efetivar matrícula em 2026 devido ao comprometimento financeiro com jogos
The post Jovens estão atrasando a faculdade porque gastam o dinheiro em bets appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/jovens-estao-atrasando-a-faculdade-porque-gastam-o-dinheiro-em-bets/
"Número de brasileiros traficados para atuar em bets cresce, diz MJ",Metropoles.com,2025-07-11T11:55:47Z,"Casos reunidos pelo Ministério da Justiça envolvem exploração de brasileiros em plataformas ilegais, principalmente no Sudeste Asiático",https://www.metropoles.com/colunas/fabio-serapiao/numero-de-brasileiros-traficados-para-atuar-em-bets-cresce-diz-mj
A autorização como forma de outorga de serviços públicos: o caso das apostas de quota fixa,Conjur.com.br,2025-07-11T11:00:10Z,"Tema que, embora não seja novo, atraiu novos holofotes mais recentemente, diz respeito às possibilidades e limites do recurso à autorização como forma de outorga de serviços públicos. O caso que aqui se seleciona para ilustrar o problema, diz respeito ao acir…",https://www.conjur.com.br/2025-jul-11/a-autorizacao-como-forma-de-outorga-de-servicos-publicos-o-caso-das-apostas-de-quota-fixa/
Jovens estão atrasando a faculdade porque gastam o dinheiro em bets: 'Obstáculo adicional',Terra.com.br,2025-07-11T06:11:14Z,Pesquisa mostra ainda que 1/3 dos entrevistados adia a entrada no curso por causa de despesa com apostas,"https://www.terra.com.br/noticias/educacao/jovens-estao-atrasando-a-faculdade-porque-gastam-o-dinheiro-em-bets-obstaculo-adicional,83bbe379ee9e9bcce6a81b78b3ff08fb8tura41g.html"
Código promocional Meridianbet 2025: como garantir ofertas da casa,Metropoles.com,2025-07-10T20:20:59Z,"Veja como ativar o código promocional Meridianbet no momento do cadastro para garantir ofertas, apostas grátis e outros bônus da casa",https://www.metropoles.com/apostas/codigo-bonus/codigo-promocional-meridianbet
Jornalista da ESPN quebra silêncio após acusações de vício em apostas,Metropoles.com,2025-07-10T20:03:12Z,O comentarista Leonardo Bertozzi se afastou da emissora para cuidar da saúde mental e falou sobre as supostas acusações de vício em apostas,https://www.metropoles.com/entretenimento/televisao/jornalista-da-espn-quebra-silencio-apos-acusacoes-de-vicio-em-apostas
Piovani ironiza Virginia ao falar de audiência com Neymar,Metropoles.com,2025-07-10T18:08:33Z,A atriz Luana Piovani relembrou visual de Virginia na CPI das Bets e mandou indireta ao comentar processo movido por Neymar Jr,https://www.metropoles.com/colunas/fabia-oliveira/piovani-ironiza-virginia-ao-falar-de-audiencia-com-neymar
