Descrição,Lemas,Substantivos,Verbos,Entidades
"Com odds indicando favoritismo ao Fla, Crespo reencontra rubro-negro na reestreia pelo Tricolor e tenta apagar lembrança amarga de 2021","odds, indicar, favoritismo, Fla, Crespo, reencontra, rubro-negro, reestreia, Tricolor, tentar, apagar, lembrança, amarga, 2021","odds, favoritismo, rubro-negro, reestreia, lembrança","indicando, tenta, apagar, amarga","Fla (ORG), Crespo (LOC), Tricolor (ORG)"
O comentarista Leonardo Bertozzi se afastou da ESPN para cuidar da saúde mental; ele abriu o jogo sobre os boatos de vício em apostas e dívida milionária.,"comentarista, Leonardo, Bertozzi, afastar, ESPN, cuidar, saúde, mental, abrir, jogo, boato, vício, aposta, dívida, milionário","comentarista, saúde, jogo, boatos, vício, apostas, dívida","afastou, cuidar, abriu","Leonardo Bertozzi (PER), ESPN (ORG)"
"Governo tinha feito projeções mais conservadoras e vê bets ultrapassarem setores como educação, varejo e outros em arrecadação
The post Setor de apostas surpreende e arrecada mais de R$ 3 bi em tributos em cinco meses appeared first on InfoMoney.","Governo, ter, fazer, projeção, conservadoro, ver, bets, ultrapassar, setor, educação, varejo, arrecadação, 
, The, post, Setor, aposta, surpreender, arrecar, R$, 3, bi, tributo, appeared, first, on, InfoMoney","projeções, bets, setores, educação, varejo, arrecadação, tributos, meses","feito, vê, ultrapassarem, post, arrecada","The post Setor (MISC), R$ 3 (MISC), InfoMoney (MISC)"
"Quase 1 milhão de potenciais ingressantes podem não efetivar matrícula em 2026 devido ao comprometimento financeiro com jogos
The post Jovens estão atrasando a faculdade porque gastam o dinheiro em bets appeared first on InfoMoney.","quase, 1, milhão, potencial, ingressante, efetivar, matrícula, 2026, devido, comprometimento, financeiro, jogo, 
, The, post, Jovens, atrasar, faculdade, gastar, dinheiro, bets, appeared, First, on, InfoMoney","potenciais, ingressantes, matrícula, comprometimento, jogos, Jovens, faculdade, dinheiro, bets","podem, efetivar, post, atrasando, gastam","Jovens (LOC), bets appeared first on InfoMoney (LOC)"
"Casos reunidos pelo Ministério da Justiça envolvem exploração de brasileiros em plataformas ilegais, principalmente no Sudeste Asiático","caso, reunir, Ministério, Justiça, envolver, exploração, brasileiro, plataforma, ilegal, principalmente, Sudeste, Asiático","Casos, exploração, brasileiros, plataformas","reunidos, envolvem","Casos (LOC), Ministério da Justiça (ORG), Sudeste Asiático (LOC)"
"Tema que, embora não seja novo, atraiu novos holofotes mais recentemente, diz respeito às possibilidades e limites do recurso à autorização como forma de outorga de serviços públicos. O caso que aqui se seleciona para ilustrar o problema, diz respeito ao acir…","tema, ser, atrair, holofote, recentemente, respeito, possibilidade, limite, recurso, autorização, outorga, serviço, público, caso, seleciona, ilustrar, problema, respeito, acir","Tema, holofotes, respeito, possibilidades, limites, recurso, autorização, forma, outorga, serviços, caso, problema, respeito, acir","atraiu, diz, seleciona, ilustrar, diz",
Pesquisa mostra ainda que 1/3 dos entrevistados adia a entrada no curso por causa de despesa com apostas,"pesquisa, mostrar, 1/3, entrevistado, adiar, entrada, curso, causa, despesa, aposta","Pesquisa, entrevistados, entrada, curso, causa, despesa, apostas","mostra, adia",
"Veja como ativar o código promocional Meridianbet no momento do cadastro para garantir ofertas, apostas grátis e outros bônus da casa","ativar, código, promocional, Meridianbet, cadastro, garantir, oferta, aposta, grátis, bônu, casa","código, Meridianbet, momento, cadastro, ofertas, apostas, bônus, casa","Veja, ativar, garantir",Meridianbet (PER)
O comentarista Leonardo Bertozzi se afastou da emissora para cuidar da saúde mental e falou sobre as supostas acusações de vício em apostas,"comentarista, Leonardo, Bertozzi, afastar, emissora, cuidar, saúde, mental, falar, suposto, acusação, vício, aposta","comentarista, emissora, saúde, acusações, vício, apostas","afastou, cuidar, falou",Leonardo Bertozzi (PER)
A atriz Luana Piovani relembrou visual de Virginia na CPI das Bets e mandou indireta ao comentar processo movido por Neymar Jr,"atriz, Luana, Piovani, relembrar, visual, Virginia, CPI, Bets, mandar, indireta, comentar, processo, movir, Neymar, Jr","atriz, processo","relembrou, mandou, comentar, movido","Luana Piovani (PER), Virginia (LOC), Bets (LOC), Neymar Jr (PER)"
"A crise das apostas online entre jovens revela um problema muito maior: o abandono silencioso da educação diante de promessas de dinheiro fácil e falta de apoio real
The post Estudar ou apostar? Uma escolha que nunca deveria existir  appeared first on InfoMon…","crise, aposta, onlinar, jovem, revelar, problema, abandono, silencioso, educação, promessa, dinheiro, fácil, real, 
, The, postr, Estudar, apostar, escolha, dever, existir,   , appeared, first, on, InfoMon","crise, apostas, jovens, problema, abandono, educação, promessas, dinheiro, falta, apoio, escolha, appeared","revela, post, Estudar, apostar, deveria, existir","The post Estudar (ORG), InfoMon (LOC)"
"Segundo o levantamento, 33,8% dos entrevistados relataram dificuldades para iniciar o ensino superior por causa dos gastos com as chamadas bets","levantamento, 33,8, entrevistado, relatar, dificuldade, ensino, superior, causa, gasto, chamado, bets","levantamento, entrevistados, dificuldades, ensino, causa, gastos, bets","relataram, iniciar",bets (LOC)
"Quase 1 milhão de brasileiros podem deixar de entrar na faculdade devido a gastos com apostas online, alerta pesquisa. Entre matriculados, 14% já atrasaram mensalidades ou trancaram cursos. Descubra como as bets impactam a educação superior no Brasil.","quase, 1, milhão, brasileiro, deixar, entrar, faculdade, devido, gasto, aposta, online, alertar, pesquisa, matriculado, 14, atrasar, mensalidade, trancar, curso, descubra, bet, impactar, educação, alto, Brasil","brasileiros, faculdade, gastos, apostas, pesquisa, matriculados, mensalidades, cursos, bets, educação","podem, deixar, entrar, alerta, atrasaram, trancaram, Descubra, impactam","Descubra (LOC), Brasil (LOC)"
"Manifestantes do Movimento dos Trabalhadores Sem Teto (MTST) protestaram, nesta quarta-feira (9), no shopping Leblon,...","Manifestantes, Movimento, Trabalhadores, Teto, MTST, protestar, quarta-feira, 9, shopping, Leblon","quarta-feira, shopping",protestaram,"Manifestantes do Movimento dos Trabalhadores (LOC), shopping Leblon (LOC)"
"Levantamento mostra que bets afetam especialmente jovens do Nordeste e das classes D e E
The post Gastos com apostas online adiam entrada na universidade para 34% dos jovens appeared first on InfoMoney.","Levantamento, mostrar, bet, afetar, especialmente, jovem, nordeste, classe, D, 
, The, post, Gastos, aposta, online, ader, entrada, universidade, 34, jovem, appeared, first, on, InfoMoney","bets, jovens, Nordeste, classes, D, apostas, entrada, universidade, jovens","mostra, afetam, post, online, adiam","bets (LOC), Nordeste (LOC), D (MISC), E
The (ORG), Gastos (MISC), first on InfoMoney (MISC)"
"O senador expressou sua oposição ao projeto de lei que visa legalizar cassinos e apostas, destacando os riscos sociais e econômicos associados.","senador, expressar, oposição, projeto, lei, visar, legalizar, cassino, aposta, destacar, risco, social, econômico, associado","senador, oposição, projeto, lei, cassinos, apostas, riscos","expressou, visa, legalizar, destacando, associados",
"Os gastos com bets ou com o ""jogos do tigrinho"" adiaram o ingresso a um curso de graduação para 34% dos jovens brasileiros, revelou um levantamento feito pela Abmes (Associação Brasileira de Mantenedoras do Ensino Superior).O que aconteceuEnt","gasto, bet, jogo, tigrinho, adiar, ingresso, curso, graduação, 34, jovem, brasileiro, revelar, levantamento, fazer, Abmes, Associação, Brasileira, Mantenedoras, Ensino, Superior).O, aconteceuEnt","gastos, bets, jogos, tigrinho, ingresso, curso, graduação, jovens, levantamento","adiaram, revelou, feito","Abmes (LOC), Associação Brasileira de Mantenedoras do Ensino (ORG), aconteceuEnt (LOC)"
"Baixo quórum, divergências entre senadores e pedidos de adiamento levaram à retirada do projeto de votação nesta terça-feira (08) no Senado","quórum, divergência, senador, pedido, adiamento, levar, retirada, projeto, votação, terça-feira, 08, senado","divergências, senadores, pedidos, adiamento, retirada, projeto, votação, terça-feira, Senado",levaram,Senado (MISC)
