Descrição,Lemas,Substantivos,Verbos,Entidades
O comentarista Leonardo Bertozzi se afastou da ESPN para cuidar da saúde mental; ele abriu o jogo sobre os boatos de vício em apostas e dívida milionária.,"comentarista, Leonardo, Bertozzi, afastar, ESPN, cuidar, saúde, mental, abrir, jogo, boato, vício, aposta, dívida, milionário","comentarista, saúde, jogo, boatos, vício, apostas, dívida","afastou, cuidar, abriu","Leonardo Bertozzi (PER), ESPN (ORG)"
"Governo tinha feito projeções mais conservadoras e vê bets ultrapassarem setores como educação, varejo e outros em arrecadação
The post Setor de apostas surpreende e arrecada mais de R$ 3 bi em tributos em cinco meses appeared first on InfoMoney.","Governo, ter, fazer, projeção, conservadoro, ver, bets, ultrapassar, setor, educação, varejo, arrecadação, 
, The, post, Setor, aposta, surpreender, arrecar, R$, 3, bi, tributo, appeared, first, on, InfoMoney","projeções, bets, setores, educação, varejo, arrecadação, tributos, meses","feito, vê, ultrapassarem, post, arrecada","The post Setor (MISC), R$ 3 (MISC), InfoMoney (MISC)"
"Quase 1 milhão de potenciais ingressantes podem não efetivar matrícula em 2026 devido ao comprometimento financeiro com jogos
The post Jovens estão atrasando a faculdade porque gastam o dinheiro em bets appeared first on InfoMoney.","quase, 1, milhão, potencial, ingressante, efetivar, matrícula, 2026, devido, comprometimento, financeiro, jogo, 
, The, post, Jovens, atrasar, faculdade, gastar, dinheiro, bets, appeared, First, on, InfoMoney","potenciais, ingressantes, matrícula, comprometimento, jogos, Jovens, faculdade, dinheiro, bets","podem, efetivar, post, atrasando, gastam","Jovens (LOC), bets appeared first on InfoMoney (LOC)"
Pesquisa mostra ainda que 1/3 dos entrevistados adia a entrada no curso por causa de despesa com apostas,"pesquisa, mostrar, 1/3, entrevistado, adiar, entrada, curso, causa, despesa, aposta","Pesquisa, entrevistados, entrada, curso, causa, despesa, apostas","mostra, adia",
"Veja como ativar o código promocional Meridianbet no momento do cadastro para garantir ofertas, apostas grátis e outros bônus da casa","ativar, código, promocional, Meridianbet, cadastro, garantir, oferta, aposta, grátis, bônu, casa","código, Meridianbet, momento, cadastro, ofertas, apostas, bônus, casa","Veja, ativar, garantir",Meridianbet (PER)
O comentarista Leonardo Bertozzi se afastou da emissora para cuidar da saúde mental e falou sobre as supostas acusações de vício em apostas,"comentarista, Leonardo, Bertozzi, afastar, emissora, cuidar, saúde, mental, falar, suposto, acusação, vício, aposta","comentarista, emissora, saúde, acusações, vício, apostas","afastou, cuidar, falou",Leonardo Bertozzi (PER)
A atriz Luana Piovani relembrou visual de Virginia na CPI das Bets e mandou indireta ao comentar processo movido por Neymar Jr,"atriz, Luana, Piovani, relembrar, visual, Virginia, CPI, Bets, mandar, indireta, comentar, processo, movir, Neymar, Jr","atriz, processo","relembrou, mandou, comentar, movido","Luana Piovani (PER), Virginia (LOC), Bets (LOC), Neymar Jr (PER)"
"A crise das apostas online entre jovens revela um problema muito maior: o abandono silencioso da educação diante de promessas de dinheiro fácil e falta de apoio real
The post Estudar ou apostar? Uma escolha que nunca deveria existir  appeared first on InfoMon…","crise, aposta, onlinar, jovem, revelar, problema, abandono, silencioso, educação, promessa, dinheiro, fácil, real, 
, The, postr, Estudar, apostar, escolha, dever, existir,   , appeared, first, on, InfoMon","crise, apostas, jovens, problema, abandono, educação, promessas, dinheiro, falta, apoio, escolha, appeared","revela, post, Estudar, apostar, deveria, existir","The post Estudar (ORG), InfoMon (LOC)"
"Segundo o levantamento, 33,8% dos entrevistados relataram dificuldades para iniciar o ensino superior por causa dos gastos com as chamadas bets","levantamento, 33,8, entrevistado, relatar, dificuldade, ensino, superior, causa, gasto, chamado, bets","levantamento, entrevistados, dificuldades, ensino, causa, gastos, bets","relataram, iniciar",bets (LOC)
"Quase 1 milhão de brasileiros podem deixar de entrar na faculdade devido a gastos com apostas online, alerta pesquisa. Entre matriculados, 14% já atrasaram mensalidades ou trancaram cursos. Descubra como as bets impactam a educação superior no Brasil.","quase, 1, milhão, brasileiro, deixar, entrar, faculdade, devido, gasto, aposta, online, alertar, pesquisa, matriculado, 14, atrasar, mensalidade, trancar, curso, descubra, bet, impactar, educação, alto, Brasil","brasileiros, faculdade, gastos, apostas, pesquisa, matriculados, mensalidades, cursos, bets, educação","podem, deixar, entrar, alerta, atrasaram, trancaram, Descubra, impactam","Descubra (LOC), Brasil (LOC)"
