Descrição,Lemas,Substantivos,Verbos,Entidades
100 reais? Vai se fuder mendigo tá precisando de uma cesta básica? Tem bets no nome e nem pra dar no mínimo 500,"100, real, fuder, mendigo, tá, precisar, cesta, básico, bets, nome, pra, pequeno, 500","reais, mendigo, cesta, bets, nome, mínimo","fuder, precisando, Tem, dar",
Diz ai o fã de influencer das Bets.,"ai, fã, influencer, Bets",fã,"Diz, influencer",Bets (LOC)
As Bets tão pagando 3x1.,"Bets, pagar, 3x1",,pagando,Bets (LOC)
"Só por curiosidade, quanto rola $$ por dia de anúncio de bets no canal????","curiosidade, rolar, $, $, dia, anúncio, bets, canal","curiosidade, dia, anúncio, bets, canal",rola,
"bets não salvam vidas , pelo contrário, as destroem de forma fria e cruel quem compactua com isso , será cúmplice a ter a cumplicidade de suas ações , as redirecionam a esse destino nada legal quem pensa desse jeito , tem DESVIO DE CARÁTER.","bet, salr, vida, contrário, destroem, fria, cruel, compactuar, ser, cúmplice, cumplicidade, ação, redirecionar, destino, legal, pensar, jeito, DESVIO, CARÁTER","bets, vidas, contrário, forma, cúmplice, cumplicidade, ações, destino, jeito, DESVIO, CARÁTER","salvam, cruel, compactua, ter, redirecionam, pensa, tem","bets (LOC), DESVIO DE CARÁTER (MISC)"
Ele é fan da menina das bets,"fan, menina, bet","fan, menina, bets",,
"Tu tá mais perdido de que uma barata tonta, outro dia tira foto com uma influente das Bets, ouvidas no senado, noutro fala em soberania do pix, tu agora é um grande bravateiro, inconsequente, que só fala , eguajem, pensa um pouco antes de abrir a boca para não sair merda.","tá, perdido, barata, tonto, outro, dia, tirar, foto, influente, Bets, ouvir, senado, em outro, falar, soberania, pix, bravateiro, inconsequente, falar, eguajem, pensar, abrir, boca, sair, merda","dia, foto, influente, senado, soberania, pix, bravateiro, eguajem, boca, merda","tira, ouvidas, fala, fala, pensa, abrir, sair",Bets (LOC)
"o site onde faz uma varejismo para identificar bets autorizadas pelo Ministério da Fazenda de quotação de âmbito nacional, eu pergunto ao Michi : A ONDE ESTAR A FISCALIZAÇÃO DESSA BET , HEIN MICHI? tú não faz conteúdo bom quer induzir apostar em cassino?","site, varejismo, identificar, bet, autorizar, Ministério, Fazenda, quotação, âmbito, nacional, perguntar, Michi, FISCALIZAÇÃO, BET, HEIN, MICHI, tú, conteúdo, induzir, apostar, cassino","site, varejismo, bets, quotação, âmbito, tú, conteúdo, cassino","faz, identificar, autorizadas, pergunto, faz, induzir, apostar","Ministério da Fazenda (LOC), Michi (ORG), ONDE ESTAR (ORG), HEIN MICHI (MISC)"
"Me diga, quem iria fazer a CPI? Os mesmos que hoje e ontem defende o judiciário? So iria dar um ar de legalidade. Olha a CPMI das Bets o que deu? Nada","digar, ir, CPI, mesmo, hoje, defender, judiciário, so, ir, ar, legalidade, Olha, CPMI, Bets, dar","CPI, mesmos, judiciário, ar, legalidade","diga, fazer, defende, So, dar, Olha, deu",Bets (LOC)
"Quando eu for Presidente vou proibir o LinkedIn, MESACASTS, suruba com + de 25 pessoas (até 25 não terá problema algum), Influencers e criadores de conteúdo, o movimento verde e amarelo, programas policiais, BETs, JOGO DO TIGRINHO e o Cuscuz Paulista.","presidente, ir, proibir, LinkedIn, MESACASTS, suruba, +, 25, pessoa, 25, ter, problema, algum, Influencers, criador, conteúdo, movimento, verde, amarelo, programa, policial, BETs, JOGO, TIGRINHO, Cuscuz, Paulista","Presidente, +, pessoas, problema, algum, criadores, conteúdo, movimento, programas, JOGO","for, proibir, terá","LinkedIn (ORG), MESACASTS (ORG), Influencers (MISC), BETs (ORG), JOGO DO TIGRINHO (MISC), Cuscuz Paulista (ORG)"
